"","county","income"
"1","Adair",31506
"2","Adams",29880
"3","Allamakee",28718
"4","Appanoose",27485
"5","Audubon",27310
"6","Benton",34563
"7","Black Hawk",27979
"8","Boone",31885
"9","Bremer",31932
"10","Buchanan",32409
"11","Buena Vista",26127
"12","Butler",31209
"13","Calhoun",26420
"14","Carroll",31332
"15","Cass",27884
"16","Cedar",34919
"17","Cerro Gordo",28930
"18","Cherokee",30507
"19","Chickasaw",31574
"20","Clarke",30181
"21","Clay",30109
"22","Clayton",29261
"23","Clinton",30652
"24","Crawford",28789
"25","Dallas",43120
"26","Davis",28739
"27","Decatur",20577
"28","Delaware",31331
"29","Des Moines",26580
"30","Dickinson",31194
"31","Dubuque",30044
"32","Emmet",26767
"33","Fayette",26288
"34","Floyd",27429
"35","Franklin",30289
"36","Fremont",32643
"37","Greene",26795
"38","Grundy",36396
"39","Guthrie",31155
"40","Hamilton",32408
"41","Hancock",31848
"42","Hardin",30218
"43","Harrison",32019
"44","Henry",29894
"45","Howard",29845
"46","Humboldt",30527
"47","Ida",29776
"48","Iowa",31660
"49","Jackson",30949
"50","Jasper",30841
"51","Jefferson",25128
"52","Johnson",28190
"53","Jones",31388
"54","Keokuk",30379
"55","Kossuth",30793
"56","Lee",27804
"57","Linn",34878
"58","Louisa",30488
"59","Lucas",29072
"60","Lyon",32119
"61","Madison",36293
"62","Mahaska",30435
"63","Marion",30916
"64","Marshall",30035
"65","Mills",35694
"66","Mitchell",30757
"67","Monona",26740
"68","Monroe",31789
"69","Montgomery",26750
"70","Muscatine",31151
"71","O'Brien",30568
"72","Osceola",26997
"73","Page",29172
"74","Palo Alto",29352
"75","Plymouth",34581
"76","Pocahontas",30786
"77","Polk",35121
"78","Pottawattamie",31657
"79","Poweshiek",24258
"80","Ringgold",27585
"81","Sac",30292
"82","Scott",32582
"83","Shelby",28962
"84","Sioux",28100
"85","Story",18959
"86","Tama",31113
"87","Taylor",30590
"88","Union",27422
"89","Van Buren",29712
"90","Wapello",27318
"91","Warren",36543
"92","Washington",31092
"93","Wayne",26887
"94","Webster",25615
"95","Winnebago",28874
"96","Winneshiek",26460
"97","Woodbury",27239
"98","Worth",28517
"99","Wright",30756
