"","county","sum.sale.dollars.","population","perCapitaSales"
"1","Adair",232772,7330,31.756070941337
"2","Adams",179649,3822,47.0039246467818
"3","Allamakee",798742,14001,57.0489250767802
"4","Appanoose",765877,12602,60.7742421837804
"5","Audubon",160752,5793,27.7493526670119
"6","Benton",696284,25720,27.0716951788491
"7","Black Hawk",15289449,132821,115.113189932315
"8","Boone",1372573,26411,51.9697474537125
"9","Bremer",1744670,24663,70.7403803268053
"10","Buchanan",1006200,21031,47.8436593599924
"11","Buena Vista",1689710,20445,82.6466128637809
"12","Butler",260473,14933,17.4427777405746
"13","Calhoun",334029,9876,33.8222964763062
"14","Carroll",2226799,20555,108.333690099732
"15","Cass",1092749,13433,81.3480979676915
"16","Cedar",481756,18389,26.1980531839687
"17","Cerro Gordo",5482244,43303,126.60194443803
"18","Cherokee",712192,11752,60.6017699115044
"19","Chickasaw",360961,12164,29.6745314041434
"20","Clarke",566066,9273,61.0445379057479
"21","Clay",1456962,16478,88.4186187644132
"22","Clayton",576582,17735,32.5109670143783
"23","Clinton",3279409,47972,68.3608980238472
"24","Crawford",1220706,17147,71.1906455939815
"25","Dallas",2183590,78074,27.9682096472577
"26","Davis",93510,8768,10.6649178832117
"27","Decatur",165379,8210,20.1436053593179
"28","Delaware",886051,17445,50.7911149326455
"29","Des Moines",3411903,40114,85.0551677718502
"30","Dickinson",3764208,17046,220.826469552974
"31","Dubuque",8095940,96359,84.0185140983198
"32","Emmet",609251,9820,62.0418533604888
"33","Fayette",1119298,20391,54.8917659751851
"34","Floyd",1090852,16004,68.1612096975756
"35","Franklin",485078,10393,46.6735302607524
"36","Fremont",25053,7019,3.56931186778743
"37","Greene",400358,9083,44.077727623032
"38","Grundy",295815,12373,23.9081063606239
"39","Guthrie",450151,10691,42.1056028435132
"40","Hamilton",806193,15227,52.9449661784987
"41","Hancock",279327,11006,25.3795202616754
"42","Hardin",1265672,17324,73.0588778573078
"43","Harrison",454700,14335,31.7195674921521
"44","Henry",1029259,19941,51.6152148839075
"45","Howard",747407,9430,79.2584305408271
"46","Humboldt",624225,9607,64.9760591235557
"47","Ida",475534,7041,67.5378497372532
"48","Iowa",595007,16326,36.4453632243048
"49","Jackson",1143777,19529,58.5681294485125
"50","Jasper",1729328,36715,47.1014026964456
"51","Jefferson",806978,17662,45.69006907485
"52","Johnson",16251212,142006,114.440319423123
"53","Jones",1085257,20481,52.9884771251404
"54","Keokuk",138369,10234,13.5205198358413
"55","Kossuth",1538518,15226,101.045448574806
"56","Lee",3276570,35172,93.1584783350392
"57","Linn",23211745,218076,106.43878739522
"58","Louisa",226006,11251,20.0876366545196
"59","Lucas",369919,8700,42.5194252873563
"60","Lyon",673442,11730,57.4119352088662
"61","Madison",650829,15661,41.5573079624545
"62","Mahaska",1199822,22324,53.745834079914
"63","Marion",1869599,33197,56.3183118956532
"64","Marshall",2850819,40735,69.9845096354486
"65","Mills",441150,14841,29.7250859106529
"66","Mitchell",408060,10757,37.9343683183044
"67","Monona",515734,9013,57.2211250416066
"68","Monroe",295811,7964,37.1435208437971
"69","Montgomery",589926,10380,56.8329479768786
"70","Muscatine",2867649,42949,66.7687024144916
"71","Osceola",233323,6154,37.9140396490088
"72","Page",1145396,15552,73.6494341563786
"73","Palo Alto",734665,9155,80.2474057891862
"74","Plymouth",1520478,24972,60.8873137914464
"75","Pocahontas",329097,7061,46.6077042911769
"76","Polk",61059636,459159,132.981463937329
"77","Pottawattamie",9366065,93198,100.496416232108
"78","Poweshiek",1311599,18622,70.4327676941252
"79","Ringgold",139272,5054,27.5567867036011
"80","Sac",528490,10034,52.6699222643014
"81","Scott",19303451,171116,112.809152855373
"82","Shelby",741809,11944,62.1072505023443
"83","Sioux",1418384,34621,40.9688917131221
"84","Story",8105026,94834,85.4654027036717
"85","Tama",622690,17423,35.7395396889169
"86","Taylor",104845,6209,16.8859719761636
"87","Union",919088,12539,73.29834915065
"88","Van Buren",183392,7380,24.849864498645
"89","Wapello",2414266,35242,68.5053629192441
"90","Warren",2072032,48170,43.014988582105
"91","Washington",1427991,22115,64.5711508026227
"92","Wayne",104422,6403,16.308292987662
"93","Webster",3416914,37050,92.2243994601889
"94","Winnebago",688511,10580,65.0766540642722
"95","Winneshiek",1303940,20789,62.7225936793497
"96","Woodbury",9147132,102426,89.3047858942065
"97","Worth",218453,7562,28.8882570748479
"98","Wright",684151,12891,53.0719882088279
"99","O'Brien",NA,14055,NA
